Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Etudiants (réorientation, mise à niveau);M;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Diplômes d'université ou d'établissement;Non scolarisés;M;Paris
1;3;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Etudes de santé;Etudiants (réorientation, mise à niveau);F;Paris
1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Licence;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Master;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);F;Versailles
4;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations aux métiers du sport;Etudiants (réorientation, mise à niveau);M;Versailles
2;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
4;2;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Formations professionnelles;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Terminale;Etudiants (réorientation, mise à niveau);F;Versailles
2;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Terminale;Etudiants (réorientation, mise à niveau);M;Versailles
1;1;Centre de Ressources, d'Expertise et de Performance Sportive d'Ile de France (CREPS);Terminale;Non scolarisés;M;Versailles
2;2;Centre du Jard Annexe léonard de vinci;Terminale;Lycéens de Terminale;F;Créteil
2;2;Centre du Jard Annexe léonard de vinci;Terminale;Lycéens de Terminale;M;Créteil
5;4;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);M;Paris
2;2;CENTRE FORMATION SAINT-HONORE;Formations diplômantes du travail social;Non scolarisés;F;Paris
1;1;CENTRE MEDICAL ET PEDAGOGIQUE VARENNES-JARCY Annexe Montgeron;Prépa formation en soins infirmiers;Etudiants (réorientation, mise à niveau);F;Versailles
